Title,Company,Ratings,Experience,Salary,Location,Job_Post_History,Skills,Description
Urgent Opening For Data Scientist - Machine Learning,SPI technologies india private limited,3.7,NA,Not disclosed,Chennai,4 Days Ago,"['python', 'nlp', 'machine learning', 'data engineering', 'IT Skills', 'Pytorch', 'Airflow', 'dba']", Shift - Flexible shift timing( 9hrs of Working) Bachelors degree or higher in a computa...
Data Scientist,Applied Materials,4.3,0-3 Yrs,Not disclosed,Bangalore/Bengaluru,8 Days Ago,"['Unix', 'semiconductor', 'JMP', 'analyzing data', 'statistical analysis', 'Multivariate Analysis', 'Statistical Programming', 'Statistics']"," Acquire, cleanse, organize and mine massive volumes of data (sensor / system log) using..."
Senior Data Scientist / Lead Data Scientist | GeakMinds | Chennai,Geakminds Technologies Private Limited,4.4,NA,Not disclosed,,6 Days Ago,"['Machine Learning', 'Python', 'Tableau', 'Azure', 'GCP', 'data mining', 'Data analysis', 'SQL']", Employment: Full time Qualification: Any Graduate Experience working in at least one of...
"Immediate Hiring For DATA Scientist @ HCL, Chennai",HCL Technologies,3.8,12-18 Yrs,Not disclosed,Chennai,6 Days Ago,"['Tensorflow', 'deep learning', 'python', 'Semiconductor', 'data scientist', 'IT Skills', 'Machine Learning', 'Artificial Intelligence']", Greetings from HCL Technologies !!!We are hiring for the position of DATA SCIENTIST @ C...
Digital-Associate Process Manager - Data Scientist APM,eClerx,3.7,4-6 Yrs,Not disclosed,Pune,Just Now,"['Data Scientist', 'IT Skills', 'Project Management', 'BPO', 'project management', 'auditing', 'travel', 'story telling']", Shift TimingsThe candidate must possess in-depth functional knowledge of the process ar...
Senior Data Scientist (IN4),Walmart,4.2,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,2 Days Ago,"['IT Skills', 'Python', 'Software Development', 'Testing', 'Data Science', 'Machine Learning', 'Cloud', 'Product management']", Master s/ PhD or any other graduation degree with related statistics or computer scienc...
Senior Data Scientist,Walmart,4.2,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,2 Days Ago,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Big Data', 'Supply chain', 'Data analysis', 'Web analytics']"," Your Opportunity As a Senior Data Scientist for Walmart Global Tech, you ll have the op..."
Senior Data Scientist,Ericsson Global Services,4.2,10-15 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago,"['Bidding', 'Google Analytics', 'Data management', 'Social networking', 'Google AdWords', 'PHP', 'HTML', 'HTTP']", To be successful in the role you must have
Data Analyst / Data Scientist,GSOURCE TECHNOLOGIES PRIVATE LIMITED,4,1-6 Yrs,"3,50,000 - 6,00,000 PA.",Pune(Kalyani Nagar),1 Day Ago,"['excel', 'Data Analysis', 'Data Visualization', 'Tableau', 'Data Science', 'VLOOKUP']"," Roles and Responsibilities Work with operations, finance & sales department to generate..."
Sr. Process Modeller & Data Scientist,Pfizer,4.1,3-5 Yrs,Not disclosed,Chennai,13 Days Ago,"['C++', 'Data analysis', 'Simulation', 'Linux', 'Coding', 'Pharma', 'Product design', 'MATLAB']", The successful candidate will use modeling and simulation techniques to solve pharmaceu...
